Date,Currency,Campaign Name,Attribution type,Purchased ASIN,"14 Day Total Sales ",14 Day Total Orders (#),14 Day Total Units (#),14 Day New-to-brand Sales,14 Day New-to-brand Orders (#),14 Day New-to-brand Units (#),14 Day % of Sales New-to-brand,14 Day % of Orders New-to-brand,14 Day % of Units New-to-brand,Cost type,14 Day Total Sales - (Click),14 Day Total Orders (#) - (Click),14 Day Total Units (#) - (Click)
"Mar 4, 2026",USD,US Flux Avento B01N3OVRWE SB to Store Dec 2025 READY,Promoted,B0FD3PMPVC,$9.99,1,1,$9.99,1,1,100.00%,100.00%,100.00%,CPC,$9.99,1,1
"Mar 4, 2026",USD,US Strap SB Banner to Landing Page READY,Promoted,B0FD3PMPVC,$9.99,1,1,$9.99,1,1,100.00%,100.00%,100.00%,CPC,$9.99,1,1
"Mar 5, 2026",USD,US Strap SB Banner to Landing Page READY,Promoted,B0FD3PMPVC,$9.99,1,1,$9.99,1,1,100.00%,100.00%,100.00%,CPC,$9.99,1,1
"Mar 5, 2026",USD,SB_BROAD_reading glasses lanyard_120525,Promoted,B0FCRQRHJ8,$7.99,1,1,$7.99,1,1,100.00%,100.00%,100.00%,CPC,$7.99,1,1
"Mar 5, 2026",USD,SB_BROAD_glasses chain men_120525,Promoted,B0FD3PSJG3,$9.99,1,1,$9.99,1,1,100.00%,100.00%,100.00%,CPC,$9.99,1,1
"Mar 5, 2026",USD,SB_BROAD_oakley_120525,Promoted,B0FD3PMPVC,$9.99,1,1,$9.99,1,1,100.00%,100.00%,100.00%,CPC,$9.99,1,1
"Mar 5, 2026",USD,US Glasses Strap SB Banner Ad Nov 2025,Promoted,B0FD3PMPVC,$9.99,1,1,$9.99,1,1,100.00%,100.00%,100.00%,CPC,$9.99,1,1
"Mar 6, 2026",USD,US Strap SB Banner to Landing Page READY,Promoted,B0FD3PMPVC,$9.99,1,1,$9.99,1,1,100.00%,100.00%,100.00%,CPC,$9.99,1,1
"Mar 6, 2026",USD,SB_BROAD_glasses chain men_120525,Promoted,B0FD3LHYMN,$9.99,1,1,$9.99,1,1,100.00%,100.00%,100.00%,CPC,$9.99,1,1
"Mar 7, 2026",USD,US Strap SB Banner to Store READY,Promoted,B0FD3LHYMN,$9.99,1,1,$9.99,1,1,100.00%,100.00%,100.00%,CPC,$9.99,1,1
"Mar 7, 2026",USD,SB_BROAD_reading glasses lanyard_120525,Promoted,B0FD3PMPVC,$9.99,1,1,$9.99,1,1,100.00%,100.00%,100.00%,CPC,$9.99,1,1
